participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,torr_set1_score,torr_set2_score,atmi_score,wj_score,torr_s1_q1_resp,torr_s1_q2_resp,torr_s1_q3_resp,torr_s1_q4_resp,torr_s1_q5_resp,torr_s1_q6_resp,torr_s1_q7_resp,torr_s1_q8_resp,torr_s2_q1_resp,torr_s2_q2_resp,torr_s2_q3_resp,torr_s2_q4_resp,torr_s2_q5_resp,torr_s2_q6_resp,torr_s2_q7_resp,torr_s2_q8_resp,q1_r_sc,q2_r_sc,q3_r_sc,q4_r_sc,q5_r_sc,q6_sc,q7_sc,q8_sc,q9_sc,q10_r_sc,q11_sc,q12_sc,q13_val,q14_val,q15_val,q16_val,q17_val,q18_val,q19_val,q20_enj,q21_r_enj,q22_enj,q23_enj,q24_enj,q25_enj,q26_enj,q27_enj,q28_enj,q29_mot,q30_r_mot,q31_mot,q32_mot,x63,x64
SEP_7_0045,35492,spring-2020,2020-04-04,2020,2019-2020,spring,74,2020-01-21,7,2,3,82,76,A,C,A,C,A,B,B,B,B,D,D,D,A,C,B,C,4,2,2,2,4,2,2,4,2,4,2,2,2,4,3,4,2,4,4,2,4,2,1,2,1,2,3,2,2,2,2,2,NA,NA
SEP_7_0046,36303,spring-2020,2020-04-23,2020,2019-2020,spring,93,2020-01-21,7,7,3,109,77,D,B,B,B,D,B,A,A,B,A,D,D,D,D,C,C,2,1,2,2,1,4,3,4,3,2,3,4,5,5,5,5,5,5,4,4,4,4,3,3,3,4,3,3,4,1,4,4,NA,NA
SEP_7_0047,36694,spring-2020,2020-03-20,2020,2019-2020,spring,59,2020-01-21,7,4,4,88,97,A,C,B,D,D,D,A,D,D,B,C,D,D,D,A,B,1,1,1,1,1,2,3,3,4,1,4,4,3,3,5,3,4,4,4,4,2,3,3,3,1,2,3,4,4,2,3,2,NA,NA
SEP_7_0048,37774,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,3,3,105,79,D,B,B,B,A,C,B,D,B,C,A,C,C,B,C,D,3,2,1,1,1,4,4,3,4,2,3,3,5,5,5,3,3,2,4,4,2,4,4,4,4,4,3,4,4,2,4,4,NA,NA
SEP_7_0049,38537,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,2,7,91,111,A,C,B,A,A,C,D,C,B,C,C,D,A,C,A,D,2,2,3,2,1,2,3,3,2,3,3,3,5,3,4,4,4,4,1,3,3,4,3,3,2,3,3,3,3,2,3,2,NA,NA
SEP_7_0050,42040,spring-2020,2020-04-03,2020,2019-2020,spring,73,2020-01-21,7,4,5,102,65,D,C,B,C,D,C,A,A,B,B,C,A,A,D,A,C,3,2,4,3,2,3,4,4,3,1,4,4,5,4,3,4,3,4,4,3,3,4,2,2,1,5,3,4,4,2,2,3,NA,NA
SEP_7_0051,42455,spring-2020,2020-03-22,2020,2019-2020,spring,61,2020-01-21,7,3,3,96,62,C,B,B,C,B,D,A,C,B,C,B,B,A,C,D,C,5,4,4,4,4,2,1,2,2,4,2,2,4,4,4,4,4,4,4,2,4,2,2,2,2,2,4,2,2,4,2,2,NA,NA
SEP_7_0052,42578,spring-2020,2020-03-24,2020,2019-2020,spring,63,2020-01-21,7,4,1,104,87,A,C,A,B,B,C,A,A,B,D,A,B,C,A,C,C,1,1,1,1,1,5,4,4,4,2,5,4,4,3,4,5,4,5,4,4,2,2,4,4,4,2,4,4,4,2,4,2,NA,NA
SEP_7_0053,43086,spring-2020,2020-04-05,2020,2019-2020,spring,75,2020-01-21,7,4,7,116,99,A,C,B,A,D,C,A,D,B,C,C,D,A,D,A,B,1,1,1,1,1,5,5,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,5,5,5,5,5,5,5,2,4,4,NA,NA
SEP_7_0054,45178,spring-2020,2020-04-23,2020,2019-2020,spring,93,2020-01-21,7,1,3,84,92,C,C,A,A,A,C,A,D,C,A,C,C,A,D,C,C,5,4,5,4,5,1,5,2,1,4,2,2,2,2,5,2,4,5,1,2,4,1,1,1,1,2,1,1,2,5,1,1,NA,NA
